Date,Open,High,Low,Close,Adj Close,Volume
2008-11-01,56.930000,60.220001,34.330002,45.299999,27.169838,0
2008-12-01,36.540001,53.439999,36.540001,51.750000,31.038393,0
2009-01-01,50.119999,51.740002,40.939999,42.740002,26.073637,0
2009-02-01,43.549999,44.779999,33.889999,33.889999,20.674673,0
2009-03-01,31.360001,38.090000,29.930000,34.490002,21.040697,0
2009-04-01,34.150002,45.770000,34.150002,45.259998,27.986410,0
2009-05-01,43.330002,47.580002,41.830002,46.330002,28.648050,0
2009-06-01,48.180000,49.009998,41.799999,44.099998,27.269142,0
2009-07-01,44.660000,48.810001,40.450001,48.799999,30.550009,0
2009-08-01,49.580002,56.950001,49.580002,55.639999,34.831993,0
2009-09-01,52.689999,62.799999,51.660000,58.790001,36.803989,0
2009-10-01,56.160000,59.860001,54.570000,56.070000,35.350567,0
2009-11-01,56.200001,61.180000,55.759998,59.910000,37.771576,0
2009-12-01,60.709999,65.370003,60.709999,63.340000,39.934101,0
2010-01-01,62.990002,64.620003,59.950001,59.950001,38.166649,0
2010-02-01,61.049999,63.340000,58.180000,63.310001,40.305775,0
2010-03-01,63.799999,70.599998,63.660000,69.190002,44.049236,0
2010-04-01,69.459999,76.620003,69.459999,74.070000,47.511444,0
2010-05-01,76.650002,76.650002,66.220001,70.080002,44.973831,0
2010-06-01,68.699997,73.430000,65.480003,65.809998,42.233559,0
2010-07-01,65.720001,72.680000,62.930000,72.190002,46.769535,0
2010-08-01,74.669998,74.669998,69.360001,71.320000,46.205906,0
2010-09-01,73.680000,77.529999,72.580002,73.800003,47.812614,0
2010-10-01,74.269997,78.900002,74.269997,77.320000,50.530865,0
2010-11-01,78.019997,81.199997,73.690002,75.779999,49.524422,0
2010-12-01,76.440002,78.660004,74.989998,78.440002,51.262791,0
2011-01-01,79.959999,81.379997,77.730003,81.029999,53.529167,0
2011-02-01,81.389999,84.779999,80.739998,84.779999,56.006432,0
2011-03-01,82.339996,82.930000,79.480003,82.930000,54.784309,0
2011-04-01,83.000000,88.120003,81.330002,87.660004,58.332962,0
2011-05-01,87.730003,88.839996,85.080002,88.839996,59.118191,0
2011-06-01,86.220001,86.220001,82.349998,85.169998,56.676006,0
2011-07-01,86.739998,89.610001,85.940002,86.510002,58.048164,0
2011-08-01,85.139999,85.139999,69.010002,81.720001,54.834076,0
2011-09-01,80.410004,81.279999,72.080002,72.080002,48.365639,0
2011-10-01,68.589996,83.279999,68.589996,82.459999,55.853958,0
2011-11-01,79.459999,82.820000,73.820000,79.370003,53.760937,0
2011-12-01,78.400002,82.860001,77.599998,82.150002,55.643959,0
2012-01-01,82.830002,87.760002,81.389999,87.470001,59.913719,0
2012-02-01,88.339996,89.739998,86.169998,86.500000,59.249310,0
2012-03-01,87.010002,90.269997,86.480003,90.220001,61.797379,0
2012-04-01,90.809998,92.970001,86.300003,92.839996,64.105110,0
2012-05-01,93.790001,93.790001,86.570000,88.610001,61.184319,0
2012-06-01,86.379997,92.830002,85.930000,92.830002,64.098206,0
2012-07-01,93.760002,95.730003,92.610001,94.650002,65.893188,0
2012-08-01,94.290001,95.239998,92.820000,94.550003,65.823563,0
2012-09-01,95.290001,97.449997,91.760002,92.080002,64.104012,0
2012-10-01,91.410004,93.610001,90.370003,91.320000,64.081139,0
2012-11-01,91.660004,92.300003,87.900002,90.980003,63.842571,0
2012-12-01,91.379997,94.199997,91.199997,93.239998,65.428452,0
2013-01-01,94.400002,98.160004,94.400002,96.699997,68.679512,0
2013-02-01,97.290001,98.889999,96.629997,97.900002,69.531837,0
2013-03-01,98.309998,99.989998,97.980003,99.989998,71.016212,0
2013-04-01,100.230003,106.690002,100.230003,106.690002,76.357864,0
2013-05-01,105.830002,110.830002,100.339996,100.339996,71.813202,0
2013-06-01,100.919998,100.919998,93.040001,97.449997,69.744812,0
2013-07-01,97.160004,102.879997,97.160004,98.260002,71.006012,0
2013-08-01,97.849998,97.849998,90.029999,91.529999,66.142677,0
2013-09-01,90.730003,98.220001,90.419998,93.669998,67.689110,0
2013-10-01,95.099998,100.709999,92.820000,97.879997,71.369911,0
2013-11-01,98.410004,98.669998,92.760002,92.760002,67.636627,0
2013-12-01,92.199997,93.889999,90.889999,91.580002,66.776222,0
2014-01-01,91.440002,95.459999,91.440002,95.459999,70.692505,0
2014-02-01,93.779999,100.190002,93.779999,100.190002,74.195274,0
2014-03-01,100.269997,101.769997,98.010002,100.070000,74.106453,0
2014-04-01,100.489998,103.440002,99.839996,103.440002,77.096741,0
2014-05-01,103.830002,105.860001,103.629997,105.860001,78.900421,0
2014-06-01,106.190002,108.269997,104.959999,106.099998,79.079308,0
2014-07-01,106.639999,108.669998,105.879997,106.180000,79.875313,0
2014-08-01,105.959999,109.809998,105.519997,109.309998,82.229889,0
2014-09-01,109.410004,110.419998,101.110001,101.830002,76.602966,0
2014-10-01,101.940002,111.980003,101.790001,111.980003,85.014801,0
2014-11-01,112.879997,114.199997,111.180000,114.199997,86.700211,0
2014-12-01,113.970001,116.830002,112.879997,114.830002,87.178497,0
2015-01-01,116.540001,125.699997,116.540001,122.580002,94.346657,0
2015-02-01,122.379997,124.360001,117.239998,118.199997,90.975487,0
2015-03-01,118.900002,123.290001,113.889999,119.540001,92.006851,0
2015-04-01,119.239998,121.449997,112.480003,112.480003,87.085464,0
2015-05-01,113.379997,114.919998,110.790001,112.190002,86.860954,0
2015-06-01,113.510002,113.510002,105.830002,105.959999,82.037491,0
2015-07-01,107.620003,111.919998,107.620003,111.919998,87.520996,0
2015-08-01,112.559998,114.379997,102.750000,104.930000,82.054855,0
2015-09-01,102.910004,109.089996,102.260002,107.019997,83.689240,0
2015-10-01,107.540001,115.550003,107.540001,113.220001,89.410477,0
2015-11-01,115.599998,115.599998,108.309998,112.519997,88.857697,0
2015-12-01,114.089996,114.430000,109.970001,112.980003,89.220970,0
2016-01-01,111.540001,113.800003,104.720001,109.190002,87.436226,0
2016-02-01,109.330002,109.739998,101.389999,108.750000,87.083878,0
2016-03-01,111.779999,118.739998,111.779999,118.739998,95.083572,0
2016-04-01,118.550003,118.800003,114.709999,115.879997,93.827431,0
2016-05-01,117.839996,122.639999,115.389999,118.629997,96.054100,0
2016-06-01,118.739998,125.680000,118.739998,125.680000,101.762436,0
2016-07-01,125.790001,130.949997,125.260002,130.949997,106.983032,0
2016-08-01,131.380005,131.380005,124.980003,126.139999,103.053375,0
2016-09-01,125.830002,128.639999,119.480003,122.980003,100.471725,0
2016-10-01,120.760002,120.760002,113.739998,115.970001,95.406837,0
2016-11-01,113.370003,115.220001,110.620003,113.980003,93.769684,0
2016-12-01,112.239998,118.720001,112.239998,116.870003,96.147263,0
2017-01-01,117.320000,119.480003,115.949997,116.830002,98.100334,0
2017-02-01,115.360001,121.720001,115.360001,120.860001,101.484268,0
2017-03-01,120.449997,120.449997,114.010002,117.139999,98.360634,0
2017-04-01,117.410004,121.220001,117.320000,117.320000,99.228210,0
2017-05-01,118.050003,118.050003,114.730003,116.559998,98.585411,0
2017-06-01,117.129997,120.699997,117.129997,117.900002,99.718765,0
2017-07-01,119.519997,119.599998,115.029999,119.389999,101.944763,0
2017-08-01,119.949997,119.949997,116.389999,119.099998,101.697136,0
2017-09-01,119.540001,121.449997,116.750000,117.739998,100.535858,0
2017-10-01,117.529999,120.099998,116.139999,116.559998,100.548859,0
2017-11-01,117.080002,120.910004,117.080002,119.639999,103.205803,0
2017-12-01,119.940002,121.370003,115.160004,117.550003,101.402893,0
2018-01-01,117.139999,117.139999,110.629997,112.629997,98.645988,0
2018-02-01,110.169998,110.169998,102.459999,104.050003,91.131287,0
2018-03-01,104.089996,108.519997,102.879997,106.970001,93.688736,0
2018-04-01,105.489998,108.260002,104.889999,107.889999,95.398071,0
2018-05-01,108.800003,112.160004,107.330002,111.790001,98.846512,0
2018-06-01,112.269997,115.349998,111.830002,115.349998,101.994331,0
2018-07-01,114.779999,117.620003,114.139999,116.199997,103.697372,0
2018-08-01,116.849998,119.339996,115.589996,119.089996,106.276421,0
2018-09-01,117.809998,118.779999,112.290001,114.349998,102.046417,0
2018-10-01,113.290001,113.290001,107.510002,110.970001,100.416840,0
2018-11-01,111.550003,116.209999,110.519997,116.209999,105.158524,0
2018-12-01,116.769997,117.949997,101.550003,105.720001,95.666107,0
2019-01-01,103.480003,118.139999,103.480003,118.139999,108.162239,0
2019-02-01,117.389999,120.639999,117.389999,119.010002,108.958763,0
2019-03-01,118.669998,123.339996,118.669998,123.110001,112.712494,0
2019-04-01,123.089996,124.820000,119.800003,123.000000,113.414536,0
2019-05-01,123.120003,124.889999,121.489998,123.129997,113.534386,0
2019-06-01,123.489998,129.710007,121.930000,124.050003,114.382713,0
2019-07-01,123.779999,128.610001,123.779999,126.029999,117.303474,0
2019-08-01,126.010002,130.770004,124.129997,130.770004,121.715271,0
2019-09-01,132.089996,133.199997,129.869995,132.169998,123.018333,0
2019-10-01,130.850006,135.029999,130.330002,133.589996,125.336990,0
2019-11-01,133.630005,133.630005,128.360001,131.919998,123.770164,0
2019-12-01,129.880005,131.869995,126.410004,131.580002,123.451172,0
2020-01-01,129.690002,135.710007,129.369995,133.119995,126.223038,0
2020-02-01,133.529999,141.130005,123.699997,123.699997,117.291092,0
2020-03-01,129.119995,133.729996,80.800003,99.099998,93.965622,0
2020-04-01,92.519997,112.000000,91.559998,107.879997,103.026512,0
2020-05-01,104.089996,110.910004,97.510002,109.760002,104.821938,0
2020-06-01,112.269997,122.989998,107.879997,111.339996,106.330849,0
2020-07-01,113.910004,116.290001,109.349998,115.320000,111.190414,0
2020-08-01,113.790001,117.010002,113.260002,115.879997,111.730354,0
2020-09-01,115.889999,118.489998,107.910004,111.949997,107.941101,0
2020-10-01,114.209999,118.239998,107.730003,108.500000,105.429314,0
2020-11-01,111.199997,122.440002,111.199997,119.010002,115.641869,0
2020-12-01,120.610001,122.870003,117.800003,120.379997,116.973091,0
